Cód Cidades,Cidades,UF,Já é atendido pela Loggi?,Distância de Cajamar (km),População 2018,área em KM2,Tem malha aerea?,Latitude,Longitude,IDH,Taxa de Homicídio
3550308,São Paulo (SP),SP,sim, -   ,12105804,1523,sim,-23.550650700000000,-46.633382400000000,"0,805","14,9"
3304557,Rio de Janeiro (RJ),RJ,sim,444,6519400,1182,sim,-22.911013700000000,-43.209372700000000,"0,799","34,9"
5300108,Brasília (DF),DF,sim,1003,3039444,5802,sim,-15.793403600000000,-47.882317200000000,"0,824","26,5"
2927408,Salvador (BA),BA,sim,1973,2953716,707,sim,-12.982249900000000,-38.481277200000000,"0,759","61,7"
2304400,Fortaleza (CE),CE,sim,2928,2627745,313,sim,-3.730451200000000,-38.521798900000000,"0,754","55,0"
3106200,Belo Horizonte (MG),MG,sim,"591,21",2523469,331,sim,-19.922731800000000,-43.945094800000000,"0,81","31,9"
1302603,Manaus (AM),AM,sim,3900,2130330,11401,sim,-3.1316333,-59.9825041,"0,737","48,6"
4106902,Curitiba (PR),PR,sim,410,1908330,435,sim,-25.429596300000000,-49.271272400000000,"0,823","31,7"
2611606,Recife (PE),PE,sim,2655,1633588,217,sim,-8.064193100000000,-34.878151700000000,"0,772","53,1"
4314902,Porto Alegre (RS),RS,sim,1107,1484863,497,sim,-30.032499900000000,-51.230376700000000,"0,805","58,1"
5208707,Goiânia (GO),GO,sim,960,1465990,739,sim,-16.68088200000000,-49.253269100000000,"0,799","43,1"
1501402,Belém (PA),PA,nao,2859,1451439,1065,sim,-1.4505600000000,-48.468245300000000,"0,746","77,0"
3518800,Guarulhos (SP),SP,nao,"21,5",1349158,318,sim,-23.443060200000000,-46.52445900000000,"0,763","20,6"
3509502,Campinas (SP),SP,sim,"91,25",1182410,796,sim,-22.9055600000000,-47.0608300000000,"0,805","16,1"
2111300,São Luís (MA),MA,nao,2905,1091347,827,sim,-2.531922400000000,-44.293327600000000,"0,768","55,5"
3304904,São Gonçalo (RJ),RJ,nao,"461,94",1049793,249,nao,-22.821901400000000,-43.030925200000000,"0,739","43,9"
2704302,Maceió (AL),AL,nao,2423,1029166,511,sim,-9.647684300000000,-35.733926400000000,"0,721","55,6"
3301702,Duque de Caxias (RJ),RJ,nao,"426,28",890890,465,nao,-22.789622500000000,-43.30992900000000,"0,711","47,2"
2408102,Natal (RN),RN,nao,2947,885077,170,sim,-5.80539800000000,-35.208090500000000,"0,763","70,6"
5002704,Campo Grande (MS),MS,nao,"993,84",874184,8096,sim,-20.464017300000000,-54.616294700000000,"0,784","29,7"
2211001,Teresina (PI),PI,nao,2686,850083,1671,sim,-5.089640300000000,-42.80958800000000,"0,751","44,1"
3548708,São Bernardo do Campo (SP),SP,nao,"18,73",827379,406,nao,-23.690102100000000,-46.562962400000000,"0,805","16,7"
2507507,João Pessoa (PB),PB,nao,2773,811847,211,sim,-7.121598100000000,-34.88202800000000,"0,763","44,9"
3303500,Nova Iguaçu (RJ),RJ,nao,"405,05",787296,524,nao,-22.759217500000000,-43.450872800000000,"0,713","54,4"
3547809,Santo André (SP),SP,nao,"20,57",715112,175,nao,-23.657339500000000,-46.532250400000000,"0,815","24,6"
3549904,São José dos Campos (SP),SP,sim,"89,38",703284,1100,nao,-23.180501100000000,-45.887296900000000,"0,807","13,7"
3534401,Osasco (SP),SP,nao,"25,55",697743,65,nao,-23.532485900000000,-46.791680100000000,"0,776","20,7"
2607901,Jaboatão dos Guararapes (PE),PE,nao,2635,695978,256,nao,-8.175247600000000,-34.946871600000000,"0,717","64,7"
3543402,Ribeirão Preto (SP),SP,sim,"317,63",682408,650,sim,-21.17833300000000,-47.806667100000000,"0,8","20,6"
3170206,Uberlândia (MG),MG,nao,567,676815,4116,sim,-18.918804100000000,-48.276783700000000,"0,789","22,2"
3552205,Sorocaba (SP),SP,nao,"104,95",659961,449,nao,-23.50166700000000,-47.45805600000000,"0,798","17,0"
3118601,Contagem (MG),MG,nao,"570,59",658632,195,nao,-19.913274900000000,-44.084095300000000,"0,756","51,9"
2800308,Aracaju (SE),SE,nao,2168,650200,174,sim,-10.916206100000000,-37.077465500000000,"0,77","76,5"
2910800,Feira de Santana (BA),BA,nao,1857,627478,1363,sim,-12.257893400000000,-38.959804700000000,"0,712","85,1"
5103403,Cuiabá (MT),MT,nao,1527,589902,3538,sim,-15.598668600000000,-56.099130100000000,"0,785","40,8"
4209102,Joinville (SC),SC,nao,"522,4",577024,1126,sim,-26.304489800000000,-48.848672600000000,"0,809","24,8"
3136702,Juiz de Fora (MG),MG,nao,"514,21",563816,1437,sim,-21.760953300000000,-43.350112900000000,"0,778","36,3"
4113700,Londrina (PR),PR,nao,"537,38",558461,1651,sim,-23.311287800000000,-51.159502300000000,"0,778","24,6"
5201405,Aparecida de Goiânia (GO),GO,nao,"883,87",542258,288,nao,-16.822676900000000,-49.245254600000000,"0,718","61,6"
1100205,Porto Velho (RO),RO,nao,3013,519563,34082,sim,-8.749452500000000,-63.873543800000000,"0,736","44,6"
1500800,Ananindeua (PA),PA,nao,2842,515927,185,nao,-1.37403500000000,-48.401662300000000,"0,718","84,6"
3300456,Belford Roxo (RJ),RJ,nao,"412,35",507373,80,nao,-22.766728400000000,-43.403360300000000,"0,684","58,1"
3205002,Serra (ES),ES,nao,"981,96",502782,553,nao,-20.1252961,-40.3064477,"0,739","59,9"
3303302,Niterói (RJ),RJ,nao,"452,26",498941,129,nao,-22.883237100000000,-43.115455200000000,"0,837","38,0"
3301009,Campos dos Goytacazes (RJ),RJ,nao,"709,35",490294,4032,nao,-21.755861900000000,-41.332689500000000,"0,716","55,8"
3205200,Vila Velha (ES),ES,nao,"950,03",486457,209,nao,-20.329729300000000,-40.292028400000000,"0,8","38,8"
4205407,Florianópolis (SC),SC,nao,"696,24",485865,433,sim,-27.597300200000000,-48.549609800000000,"0,847","17,2"
4305108,Caxias do Sul (RS),RS,nao,"983,05",483555,1644,sim,-29.168479600000000,-51.179386100000000,"0,782","35,5"
1600303,Macapá (AP),AP,nao,3402,474699,6407,nao,0.046069900000000,-51.069323800000000,"0,733","56,7"
3529401,Mauá (SP),SP,nao,"26,42",462029,62,nao,-23.6676700000000,-46.46126300000000,"0,766","18,8"
3305109,São João de Meriti (RJ),RJ,nao,"417,19",460336,35,nao,-22.804374400000000,-43.372412500000000,"0,719","56,0"
3549805,São José do Rio Preto (SP),SP,nao,"441,9",450671,431,sim,-20.812585100000000,-49.380421200000000,"0,797","13,7"
3548500,Santos (SP),SP,sim,"73,06",434640,280,nao,-23.96083300000000,-46.33388900000000,"0,84","11,5"
3530607,Mogi das Cruzes (SP),SP,nao,"64,59",433948,714,nao,-23.523428400000000,-46.192667100000000,"0,783","12,8"
3106705,Betim (MG),MG,nao,"555,07",427306,346,nao,-19.96805600000000,-44.19833300000000,"0,749","60,8"
3513801,Diadema (SP),SP,nao,"20,04",417842,31,nao,-23.68134700000000,-46.6205200000000,"0,757","18,8"
2504009,Campina Grande (PB),PB,nao,2673,410310,621,sim,-7.224674300000000,-35.877129200000000,"0,72","36,8"
3525904,Jundiaí (SP),SP,nao,"58,83",409515,432,nao,-23.188225800000000,-46.883809700000000,"0,822","8,9"
4115200,Maringá (PR),PR,nao,"650,08",408678,488,sim,-23.42526900000000,-51.938207800000000,"0,808","12,2"
3143302,Montes Claros (MG),MG,nao,"985,57",402118,3582,nao,-16.727353800000000,-43.871767600000000,"0,77","27,1"
3538709,Piracicaba (SP),SP,nao,185,397309,1370,nao,-22.7252800000000,-47.6491700000000,"0,785","12,4"
3510609,Carapicuíba (SP),SP,nao,"29,84",396545,35,nao,-23.523467300000000,-46.840680800000000,"0,749","13,2"
2609600,Olinda (PE),PE,nao,2657,390690,44,nao,-7.998640100000000,-34.845955200000000,"0,735","60,7"
3201308,Cariacica (ES),ES,nao,"954,25",387294,280,nao,-20.26320200000000,-40.41654900000000,"0,718","48,1"
1200401,Rio Branco (AC),AC,nao,3526,383452,9223,nao,-9.976536200000000,-67.822077800000000,"0,727","62,6"
5201108,Anápolis (GO),GO,nao,1012,375103,918,nao,-16.333282800000000,-48.952575600000000,"0,737","59,6"
3506003,Bauru (SP),SP,nao,"331,91",371663,673,sim,-22.321810200000000,-49.070586300000000,"0,801","8,7"
3205309,Vitória (ES),ES,nao,"956,82",363117,93,sim,-20.3200917,-40.3376682,"0,845","23,1"
2303709,Caucaia (CE),CE,nao,3116,362360,1228,nao,-3.730056300000000,-38.659308200000000,"0,682","61,1"
3523107,Itaquaquecetuba (SP),SP,nao,"42,24",360698,82,nao,-23.475449200000000,-46.351403300000000,"0,714","22,1"
3551009,São Vicente (SP),SP,nao,"70,44",360360,148,nao,-23.960368600000000,-46.384702400000000,"0,768","22,6"
2604106,Caruaru (PE),PE,nao,2531,356249,921,nao,-8.282970200000000,-35.972285200000000,"0,677","68,2"
2933307,Vitória da Conquista (BA),BA,nao,1456,348757,3204,nao,-14.856748700000000,-40.841480400000000,"0,678","68,5"
4202404,Blumenau (SC),SC,nao,"603,57",348494,520,nao,-26.919556700000000,-49.065802500000000,"0,806","11,9"
3516200,Franca (SP),SP,nao,"399,02",347226,607,nao,-20.538176800000000,-47.400979500000000,"0,78","10,4"
4314407,Pelotas (RS),RS,nao,1385,344357,1609,nao,-31.769973600000000,-52.341016100000000,"0,739","26,8"
4119905,Ponta Grossa (PR),PR,nao,"515,1",344350,2068,sim,-25.089168500000000,-50.160181200000000,"0,763","25,2"
4304606,Canoas (RS),RS,nao,1132,343856,131,nao,-29.921604500000000,-51.179952500000000,"0,75","47,9"
2611101,Petrolina (PE),PE,nao,2178,343422,4559,sim,-9.381733400000000,-40.496887500000000,"0,697","40,9"
1400100,Boa Vista (RR),RR,nao,4650,332025,5687,nao,2.820847800000000,-60.671958200000000,"0,752","40,4"
3154606,Ribeirão das Neves (MG),MG,nao,"593,01",328944,154,nao,-19.767289800000000,-44.087543600000000,"0,684","53,1"
2610707,Paulista (PE),PE,nao,2674,328387,94,nao,-7.934006900000000,-34.86840700000000,"0,732","50,4"
3170107,Uberaba (MG),MG,nao,"485,11",328343,4512,nao,-19.75083300000000,-47.93666600000000,"0,772","22,4"
4104808,Cascavel (PR),PR,nao,"923,24",319641,2100,sim,-24.955499600000000,-53.456054400000000,"0,782","29,1"
3518701,Guarujá (SP),SP,nao,"96,05",315546,143,nao,-23.992776800000000,-46.255833200000000,"0,751","16,9"
3541000,Praia Grande (SP),SP,nao,"75,83",310168,149,nao,-24.00583300000000,-46.40277800000000,"0,754","18,7"
3554102,Taubaté (SP),SP,nao,"143,23",307964,626,nao,-23.03144800000000,-45.561279200000000,"0,8","26,5"
4125506,São José dos Pinhais (PR),PR,nao,"417,3",307634,946,nao,-25.53381600000000,-49.207216300000000,"0,758","50,9"
3526902,Limeira (SP),SP,nao,"148,02",300901,581,nao,-22.561506800000000,-47.40176600000000,"0,775","7,4"
3303906,Petrópolis (RJ),RJ,nao,"460,3",298095,775,nao,-22.51996300000000,-43.19261300000000,"0,745","10,7"
2905701,Camaçari (BA),BA,nao,1955,297173,760,nao,-12.699818800000000,-38.326076200000000,"0,694","91,8"
1506807,Santarém (PA),PA,nao,3377,296159,17877,nao,-2.43848900000000,-54.69961100000000,"0,691","28,5"
2408003,Mossoró (RN),RN,nao,2779,295641,2110,nao,-5.190433200000000,-37.344387200000000,"0,72","74,7"
3552502,Suzano (SP),SP,nao,"51,01",290784,206,nao,-23.542784200000000,-46.310839100000000,"0,765","14,6"
1721000,Palmas (TO),TO,nao,1722,287017,2219,sim,-10.183560400000000,-48.333779300000000,"0,788","37,2"
